Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7308895,WHOSIS_000001,COUNTRY,COD,YEAR,AFR,Africa,SEX,2012,SEX_FMLE,,,,,,,60.1 [59.3-61.0],60.13749172,59.34332308,61.03057456,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7309586,WHOSIS_000001,COUNTRY,NAM,YEAR,AFR,Africa,SEX,2018,SEX_FMLE,,,,,,,66.2 [65.3-67.5],66.22433545,65.33195783,67.47913239,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7309747,WHOSIS_000001,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,SEX,2019,SEX_MLE,,,,,,,71.5 [70.8-72.2],71.46825386,70.80920239,72.24888754,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7310660,WHOSIS_000001,COUNTRY,TZA,YEAR,AFR,Africa,SEX,2016,SEX_FMLE,,,,,,,67.2 [66.6-67.9],67.24867934,66.5641469,67.93156128,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7311733,WHOSIS_000001,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,SEX,2006,SEX_BTSX,,,,,,,71.6 [71.3-72.0],71.61510574,71.28043631,71.95536592,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7312389,WHOSIS_000001,COUNTRY,JAM,YEAR,AMR,Americas,SEX,2007,SEX_FMLE,,,,,,,74.1 [74.0-74.4],74.14591744,73.95614213,74.38649106,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
7312564,WHOSIS_000001,COUNTRY,ECU,YEAR,AMR,Americas,SEX,2009,SEX_BTSX,,,,,,,74.9 [74.6-75.4],74.93359345,74.56489461,75.38415825,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7314399,WHOSIS_000001,COUNTRY,BOL,YEAR,AMR,Americas,SEX,2018,SEX_FMLE,,,,,,,73.6 [73.0-74.4],73.57936506,73.0470346,74.43814795,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7315213,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,2019,SEX_FMLE,,,,,,,83.8 [83.8-83.8],83.77630106,83.76433764,83.84789159,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7318121,WHOSIS_000001,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,SEX,2010,SEX_MLE,,,,,,,71.7 [70.9-72.7],71.69109081,70.85969264,72.72524903,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7318338,WHOSIS_000001,COUNTRY,BLZ,YEAR,AMR,Americas,SEX,2005,SEX_FMLE,,,,,,,75.1 [75.0-75.3],75.12396336,74.97763766,75.32141741,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7318927,WHOSIS_000001,COUNTRY,ATG,YEAR,AMR,Americas,SEX,2002,SEX_BTSX,,,,,,,75.0 [74.7-75.2],74.99067045,74.74066306,75.24575375,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7319274,WHOSIS_000001,COUNTRY,MDV,YEAR,SEAR,South-East Asia,SEX,2009,SEX_BTSX,,,,,,,74.4 [74.2-74.8],74.43155141,74.20134593,74.76356124,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7319381,WHOSIS_000001,COUNTRY,NER,YEAR,AFR,Africa,SEX,2001,SEX_BTSX,,,,,,,50.9 [49.8-52.0],50.89945855,49.81817481,51.96507285,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
7319722,WHOSIS_000001,COUNTRY,LSO,YEAR,AFR,Africa,SEX,2012,SEX_MLE,,,,,,,46.3 [45.3-47.4],46.31952107,45.31969485,47.42066176,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7321201,WHOSIS_000001,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,SEX,2010,SEX_MLE,,,,,,,60.4 [59.3-62.0],60.43811764,59.29291574,61.95845346,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7322869,WHOSIS_000001,COUNTRY,NAM,YEAR,AFR,Africa,SEX,2003,SEX_MLE,,,,,,,49.7 [48.6-50.7],49.69421145,48.64058308,50.67518163,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
7322958,WHOSIS_000001,COUNTRY,URY,YEAR,AMR,Americas,SEX,2014,SEX_MLE,,,,,,,73.2 [73.1-73.3],73.1833476,73.13849344,73.30027367,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7323330,WHOSIS_000001,COUNTRY,CIV,YEAR,AFR,Africa,SEX,2019,SEX_FMLE,,,,,,,66.2 [65.1-67.0],66.19220788,65.12433567,67.01253854,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7323858,WHOSIS_000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,2005,SEX_BTSX,,,,,,,56.5 [55.6-57.3],56.45301837,55.62670168,57.25525896,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7323893,WHOSIS_000001,COUNTRY,LBR,YEAR,AFR,Africa,SEX,2002,SEX_FMLE,,,,,,,55.1 [54.2-56.2],55.10898909,54.24033254,56.20407587,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7323899,WHOSIS_000001,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,SEX,2001,SEX_MLE,,,,,,,72.1 [71.5-72.7],72.06995887,71.51718207,72.65010716,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
7324867,WHOSIS_000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,2008,SEX_FMLE,,,,,,,82.7 [82.6-82.9],82.72508528,82.60012876,82.93438613,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
7326164,WHOSIS_000001,COUNTRY,VEN,YEAR,AMR,Americas,SEX,2011,SEX_MLE,,,,,,,70.6 [70.5-70.7],70.58756647,70.51616344,70.70338937,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7326393,WHOSIS_000001,COUNTRY,HUN,YEAR,EUR,Europe,SEX,2009,SEX_FMLE,,,,,,,78.1 [78.1-78.2],78.14738431,78.11197581,78.24445931,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7326731,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,80.0 [79.9-80.1],79.99552369,79.92923606,80.06181131,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7329290,WHOSIS_000001,COUNTRY,DOM,YEAR,AMR,Americas,SEX,2002,SEX_BTSX,,,,,,,73.6 [73.1-74.3],73.59133884,73.11995017,74.27417294,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7329393,WHOSIS_000001,COUNTRY,HUN,YEAR,EUR,Europe,SEX,2011,SEX_FMLE,,,,,,,78.5 [78.5-78.6],78.49829646,78.47027727,78.59112221,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7330300,WHOSIS_000001,REGION,EUR,YEAR,,,SEX,2014,SEX_BTSX,,,,,,,76.9 [76.8-77.0],76.88838577,76.80899322,77.03537183,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7330577,WHOSIS_000001,COUNTRY,KIR,YEAR,WPR,Western Pacific,SEX,2009,SEX_FMLE,,,,,,,64.7 [64.0-65.4],64.66602885,64.0118161,65.37419211,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7331114,WHOSIS_000001,COUNTRY,NOR,YEAR,EUR,Europe,SEX,2016,SEX_BTSX,,,,,,,82.1 [82.1-82.2],82.11289124,82.09275822,82.2011293,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7331734,WHOSIS_000001,COUNTRY,SUR,YEAR,AMR,Americas,SEX,2007,SEX_MLE,,,,,,,69.1 [68.9-69.5],69.1456578,68.86658626,69.50742127,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
7331948,WHOSIS_000001,COUNTRY,SWE,YEAR,EUR,Europe,SEX,2011,SEX_MLE,,,,,,,79.7 [79.6-79.7],79.67689139,79.60475773,79.74902505,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7332978,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,2003,SEX_BTSX,,,,,,,78.6 [78.2-79.1],78.5604186,78.17569839,79.10577796,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
7333919,WHOSIS_000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,2000,SEX_MLE,,,,,,,76.3 [76.2-76.4],76.25730394,76.23222964,76.35490702,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
7334299,WHOSIS_000001,COUNTRY,CRI,YEAR,AMR,Americas,SEX,2020,SEX_BTSX,,,,,,,80.0 [79.9-80.1],79.99304212,79.90856101,80.14332506,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
