SpatialDimType,SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue
COUNTRY,MNE,Europe,2001,Female,75.78387644
COUNTRY,LKA,South-East Asia,2015,Both,76.44590803
COUNTRY,BLR,Europe,2003,Female,74.51765047
COUNTRY,MOZ,Africa,2004,Male,49.79922826
COUNTRY,HTI,Americas,2008,Female,60.0323964
COUNTRY,FRA,Europe,2004,Female,83.2720284
COUNTRY,UGA,Africa,2000,Male,47.08075305
COUNTRY,MAR,Eastern Mediterranean,2019,Male,72.85219348
COUNTRY,ATG,Americas,2013,Female,77.54315251
COUNTRY,PHL,Western Pacific,2021,Male,63.397904
COUNTRY,VNM,Western Pacific,2019,Both,73.71007094
COUNTRY,DEU,Europe,2021,Female,82.85918032
COUNTRY,TUN,Eastern Mediterranean,2019,Female,79.98849759
COUNTRY,IDN,South-East Asia,2013,Male,68.31541032
COUNTRY,SOM,Eastern Mediterranean,2004,Both,49.44567549
COUNTRY,ESP,Europe,2018,Male,80.15362426
COUNTRY,MMR,South-East Asia,2007,Male,60.13291453
COUNTRY,ZWE,Africa,2019,Male,56.89891029
COUNTRY,TUR,Europe,2019,Both,77.61966184
COUNTRY,SAU,Eastern Mediterranean,2005,Both,71.81634573
COUNTRY,CYP,Europe,2018,Both,82.05668584
COUNTRY,LBN,Eastern Mediterranean,2012,Male,75.63281379
COUNTRY,FIN,Europe,2006,Female,82.61911452
COUNTRY,KIR,Western Pacific,2000,Both,60.08437065
COUNTRY,BHS,Americas,2000,Both,70.96744554
COUNTRY,TCD,Africa,2005,Both,52.94619682
COUNTRY,GHA,Africa,2011,Female,65.03574342
COUNTRY,IRQ,Eastern Mediterranean,2020,Female,73.82694404
COUNTRY,MDV,South-East Asia,2014,Male,75.27055695
COUNTRY,TUN,Eastern Mediterranean,2015,Both,76.78627015
COUNTRY,ECU,Americas,2006,Both,73.97387898
COUNTRY,LAO,Western Pacific,2019,Male,66.14369168
COUNTRY,ARM,Europe,2005,Both,72.0754129
COUNTRY,FIN,Europe,2003,Both,78.41020069
COUNTRY,TJK,Europe,2001,Female,68.47260221
COUNTRY,PSE,Eastern Mediterranean,2020,Both,75.1341365
COUNTRY,LVA,Europe,2014,Both,74.4358747
COUNTRY,ESP,Europe,2020,Both,81.92498871
COUNTRY,MDA,Europe,2004,Female,70.77972014
COUNTRY,TJK,Europe,2006,Both,68.48925177
COUNTRY,NOR,Europe,2006,Male,78.07766829
COUNTRY,GHA,Africa,2001,Both,59.15248936
COUNTRY,CRI,Americas,2005,Both,79.72199388
WORLDBANKINCOMEGROUP,WB_UMI,,2007,Male,69.22495907
COUNTRY,ALB,Europe,2015,Male,76.02285855
COUNTRY,MDA,Europe,2017,Both,72.85856435
COUNTRY,ECU,Americas,2013,Male,73.79505647
COUNTRY,SLE,Africa,2009,Both,54.19029086
COUNTRY,AFG,Eastern Mediterranean,2011,Male,59.12294823
COUNTRY,TUR,Europe,2010,Female,79.359621
COUNTRY,MUS,Africa,2006,Both,72.37604294
COUNTRY,QAT,Eastern Mediterranean,2020,Female,78.77670576
COUNTRY,PRY,Americas,2020,Both,75.24817035
COUNTRY,ZMB,Africa,2003,Both,47.10240747
COUNTRY,MYS,Western Pacific,2011,Male,72.27760523
COUNTRY,MDA,Europe,2019,Both,73.32010877
COUNTRY,LCA,Americas,2015,Male,72.83655011
COUNTRY,PNG,Western Pacific,2009,Female,65.57843482
COUNTRY,JOR,Eastern Mediterranean,2005,Male,75.82405784
COUNTRY,SVK,Europe,2010,Female,79.13593679
COUNTRY,JOR,Eastern Mediterranean,2021,Female,76.98049856
COUNTRY,LVA,Europe,2007,Male,65.23337667
COUNTRY,VUT,Western Pacific,2001,Female,68.57930636
COUNTRY,JPN,Western Pacific,2004,Female,85.58433875
COUNTRY,TGO,Africa,2001,Both,56.11218609
COUNTRY,LAO,Western Pacific,2005,Male,59.31529986
COUNTRY,LBN,Eastern Mediterranean,2002,Female,77.8255064
COUNTRY,MEX,Americas,2015,Both,75.93967708
COUNTRY,TUN,Eastern Mediterranean,2005,Male,72.9385159
COUNTRY,LCA,Americas,2013,Male,72.78059765
COUNTRY,NGA,Africa,2007,Male,56.87829819
COUNTRY,SVK,Europe,2007,Both,74.470327
COUNTRY,IDN,South-East Asia,2018,Female,72.99956688
COUNTRY,MWI,Africa,2006,Male,49.7118822
COUNTRY,CMR,Africa,2016,Both,59.79056297
COUNTRY,KOR,Western Pacific,2007,Both,79.37954426
COUNTRY,ARE,Eastern Mediterranean,2006,Female,80.46240936
COUNTRY,ITA,Europe,2013,Both,82.2878749
COUNTRY,SLB,Western Pacific,2007,Male,61.51567102
COUNTRY,THA,South-East Asia,2009,Female,78.2601812
COUNTRY,LBY,Eastern Mediterranean,2002,Both,73.4501765
COUNTRY,DZA,Africa,2018,Male,76.12985521
COUNTRY,POL,Europe,2014,Male,73.57068412
COUNTRY,COM,Africa,2020,Both,68.30703432
COUNTRY,LBN,Eastern Mediterranean,2001,Female,77.40610793
COUNTRY,JAM,Americas,2015,Female,75.00771057
COUNTRY,SUR,Americas,2011,Both,73.11587921
COUNTRY,MAR,Eastern Mediterranean,2021,Male,71.5359536
COUNTRY,ALB,Europe,2001,Female,79.2466615
COUNTRY,TTO,Americas,2003,Male,68.02078181
COUNTRY,COL,Americas,2005,Both,74.43998835
COUNTRY,AUS,Western Pacific,2020,Male,81.50154912
COUNTRY,SYC,Africa,2004,Both,72.21510064
COUNTRY,CZE,Europe,2006,Both,76.60775206
COUNTRY,BWA,Africa,2006,Female,58.06340592
COUNTRY,COD,Africa,2013,Both,58.89523659
COUNTRY,MRT,Africa,2007,Male,67.38427327
COUNTRY,KHM,Western Pacific,2016,Female,71.57463845
COUNTRY,DOM,Americas,2012,Female,76.79303939
COUNTRY,USA,Americas,2008,Female,80.28372415
COUNTRY,IRQ,Eastern Mediterranean,2013,Female,74.3058493
COUNTRY,NLD,Europe,2007,Male,77.99067196
COUNTRY,ATG,Americas,2004,Female,77.40290628
COUNTRY,SRB,Europe,2005,Female,75.43103144
COUNTRY,BEL,Europe,2005,Male,76.07135504
COUNTRY,LUX,Europe,2015,Both,82.3849065
COUNTRY,PAK,Eastern Mediterranean,2001,Male,61.22518495
COUNTRY,ROU,Europe,2020,Male,70.30228895
COUNTRY,NZL,Western Pacific,2003,Female,81.15392201
COUNTRY,URY,Americas,2008,Both,76.39345878
WORLDBANKINCOMEGROUP,WB_LI,,2020,Male,62.04739003
COUNTRY,TGO,Africa,2020,Male,61.33343341
COUNTRY,SDN,Eastern Mediterranean,2003,Both,63.67737719
COUNTRY,ERI,Africa,2007,Both,59.29093298
COUNTRY,PRI,Americas,2000,Both,76.24708096
COUNTRY,ARM,Europe,2018,Both,75.62030513
COUNTRY,PSE,Eastern Mediterranean,2002,Female,73.08909956
COUNTRY,IND,South-East Asia,2009,Female,68.80633047
COUNTRY,ZMB,Africa,2008,Male,53.12198237
COUNTRY,CHE,Europe,2018,Female,84.95543679
COUNTRY,SYC,Africa,2014,Both,73.23814592
COUNTRY,VCT,Americas,2000,Both,71.66187212
COUNTRY,PHL,Western Pacific,2001,Female,73.81624384
COUNTRY,BHS,Americas,2009,Female,76.11470219
COUNTRY,USA,Americas,2006,Both,77.68331379
GLOBAL,GLOBAL,,2003,Male,65.23132712
COUNTRY,DEU,Europe,2018,Male,78.42352941
COUNTRY,MWI,Africa,2011,Both,58.10856356
COUNTRY,BGD,South-East Asia,2000,Female,67.39767927
COUNTRY,MLI,Africa,2007,Male,57.32489648
COUNTRY,CUB,Americas,2009,Both,78.01983317
COUNTRY,LKA,South-East Asia,2019,Female,80.33001892
COUNTRY,MKD,Europe,2014,Male,73.23054172
COUNTRY,LAO,Western Pacific,2004,Female,62.86520621
COUNTRY,BEL,Europe,2011,Female,82.60790846
COUNTRY,CHE,Europe,2009,Both,81.89043047
COUNTRY,GTM,Americas,2018,Male,70.21932716
COUNTRY,CHL,Americas,2016,Female,82.88088496
COUNTRY,KEN,Africa,2011,Female,64.11636794
COUNTRY,LVA,Europe,2002,Both,70.10625692
COUNTRY,IND,South-East Asia,2020,Both,70.1869093
COUNTRY,CIV,Africa,2001,Both,51.50148868
COUNTRY,PRK,South-East Asia,2019,Male,69.34481232
COUNTRY,HUN,Europe,2007,Female,77.53366852
COUNTRY,SWE,Europe,2006,Male,78.59437792
COUNTRY,SLV,Americas,2021,Both,71.66703998
COUNTRY,AZE,Europe,2013,Both,72.08992478
COUNTRY,JOR,Eastern Mediterranean,2020,Both,77.55988721
COUNTRY,KGZ,Europe,2020,Male,67.84037894
COUNTRY,GNQ,Africa,2008,Male,58.56829445
COUNTRY,FRA,Europe,2011,Male,78.35634992
COUNTRY,SYR,Eastern Mediterranean,2013,Female,70.02813814
COUNTRY,VUT,Western Pacific,2016,Male,63.90912364
COUNTRY,SVK,Europe,2013,Both,76.47557345
COUNTRY,BWA,Africa,2006,Both,54.88555112
COUNTRY,BRB,Americas,2014,Male,75.07812414
COUNTRY,IRL,Europe,2002,Male,74.86858817
COUNTRY,CAN,Americas,2003,Male,77.16240072
COUNTRY,ECU,Americas,2001,Male,70.01634084
COUNTRY,BFA,Africa,2001,Male,50.7957366
COUNTRY,URY,Americas,2016,Both,76.84527198
COUNTRY,GUY,Americas,2006,Male,62.50706321
COUNTRY,MDV,South-East Asia,2008,Both,74.09191071
COUNTRY,BGD,South-East Asia,2008,Both,69.03267464
COUNTRY,MRT,Africa,2000,Female,62.90875608
COUNTRY,LSO,Africa,2006,Male,41.34729039
COUNTRY,TCD,Africa,2006,Both,53.09314194
WORLDBANKINCOMEGROUP,WB_HI,,2010,Both,79.83143411
COUNTRY,MUS,Africa,2013,Female,77.23197421
COUNTRY,PRY,Americas,2003,Male,72.56783416
COUNTRY,KIR,Western Pacific,2016,Male,58.48817254
COUNTRY,STP,Africa,2004,Female,66.66189873
COUNTRY,MYS,Western Pacific,2000,Female,75.47795543
COUNTRY,AGO,Africa,2000,Female,51.85894906
COUNTRY,NER,Africa,2010,Female,59.07669999
COUNTRY,COG,Africa,2012,Female,61.44375007
COUNTRY,BWA,Africa,2010,Female,59.40629535
COUNTRY,MDG,Africa,2006,Female,62.3579276
REGION,EMR,,2006,Female,68.46229876
COUNTRY,SLE,Africa,2017,Female,59.97648447
COUNTRY,COG,Africa,2019,Both,62.75844008
COUNTRY,KEN,Africa,2001,Both,54.33283599
COUNTRY,LBN,Eastern Mediterranean,2009,Both,77.79033646
COUNTRY,PHL,Western Pacific,2005,Male,65.53883324
COUNTRY,USA,Americas,2000,Both,76.65847648
COUNTRY,LTU,Europe,2005,Female,77.16590703
COUNTRY,BWA,Africa,2013,Female,62.4969152
COUNTRY,BDI,Africa,2001,Both,45.560229
COUNTRY,GTM,Americas,2011,Female,74.53606433
COUNTRY,CHE,Europe,2021,Male,81.48440921
COUNTRY,AUT,Europe,2002,Male,75.72034657
COUNTRY,MUS,Africa,2008,Both,72.86571029
COUNTRY,MDG,Africa,2011,Female,63.85037552
COUNTRY,SYC,Africa,2000,Male,67.89040471
COUNTRY,PRI,Americas,2017,Female,81.7659279
COUNTRY,PRI,Americas,2006,Both,78.05684106
COUNTRY,BWA,Africa,2012,Male,57.72246622
COUNTRY,URY,Americas,2000,Male,70.68700942
COUNTRY,HUN,Europe,2000,Male,67.10615636
COUNTRY,RWA,Africa,2017,Male,65.35537217
COUNTRY,TCD,Africa,2016,Female,59.76049635
COUNTRY,SLB,Western Pacific,2008,Female,66.77198754
COUNTRY,COG,Africa,2021,Both,63.17262301
COUNTRY,CIV,Africa,2009,Male,55.42017951
